Restaurant_Name,Rating,Cuisine_Type,Cost_for_one,Delivery_time,Offers,Restaurant_url
ZAZA Mughal Biryani,4.5,"Biryani, North Indian, Desserts",₹250 for one,23 min,₹200 OFF,https://www.zomato.com/ncr/zaza-mughal-biryani-karol-bagh-new-delhi/order
Keny Premium Food,4.3,"North Indian, Street Food, Desserts, Shake, Beverages",₹200 for one,43 min,Flat 20% OFF,https://www.zomato.com/ncr/keny-premium-food-shadipur-new-delhi/order
Hussaini Hotel,4.1,"Mughlai, North Indian, Rolls",₹150 for one,32 min,Flat 10% OFF,https://www.zomato.com/ncr/hussaini-hotel-nizamuddin-new-delhi/order
Burgrill - The Win Win Burger,4.3,"Burger, Sandwich, Wraps, Fast Food",₹200 for one,32 min,₹150 OFF,https://www.zomato.com/ncr/burgrill-the-win-win-burger-rajinder-nagar-new-delhi/order
Mashaallah Chicken Corner,4.1,"North Indian, Biryani",₹200 for one,30 min,No Offers,https://www.zomato.com/ncr/mashaallah-chicken-corner-1-paharganj-new-delhi/order
Fleurons - Handcrafted Cakes And Brownies,4.2,"Bakery, Desserts",₹150 for one,27 min,₹100 OFF,https://www.zomato.com/ncr/fleurons-handcrafted-cakes-and-brownies-karol-bagh-new-delhi/order
Punjabi Hut,3.6,"North Indian, Chinese, Fast Food, Rolls, Momos",₹150 for one,38 min,50% OFF,https://www.zomato.com/ncr/punjabi-hut-laxmi-nagar-new-delhi/order
Havmor Havfunn Ice Cream,4.4,"Ice Cream, Desserts, Shake, Beverages, Waffle",₹200 for one,25 min,No Offers,https://www.zomato.com/ncr/havmor-havfunn-ice-cream-rajinder-nagar-new-delhi/order
SGF - Spice Grill Flame,4.0,"Chinese, Continental, Pasta, Pizza, Burger",₹150 for one,27 min,50% OFF,https://www.zomato.com/ncr/sgf-spice-grill-flame-1-karol-bagh-new-delhi/order
Puran Dhaba,4.3,North Indian,₹200 for one,39 min,50% OFF,https://www.zomato.com/ncr/puran-dhaba-ashok-vihar-new-delhi/order
EatFit,4.3,"Healthy Food, Pizza, North Indian, Burger, Biryani, Chinese, Desserts, Beverages",₹200 for one,29 min,40% OFF,https://www.zomato.com/ncr/eatfit-karol-bagh-new-delhi/order
Taco Bell,4.1,"Mexican, Fast Food, Wraps",₹200 for one,N/A,No Offers,https://www.zomato.com/ncr/taco-bell-kamla-nagar-new-delhi/order
The Biryani Life,4.2,"Biryani, Mughlai",₹200 for one,31 min,10% OFF,https://www.zomato.com/ncr/the-biryani-life-connaught-place-new-delhi/order
The Good Bowl,4.3,"North Indian, Biryani, Mughlai",₹200 for one,28 min,20% OFF,https://www.zomato.com/ncr/the-good-bowl-connaught-place-new-delhi/order
King Shawarma,4.1,"Shawarma, Chinese, Fast Food, Momos, Burger, Street Food",₹150 for one,33 min,No Offers,https://www.zomato.com/ncr/king-shawarma-west-patel-nagar-new-delhi/order
Gulab,4.2,"Mithai, Desserts, Fast Food",₹150 for one,N/A,No Offers,https://www.zomato.com/ncr/gulab-kamla-nagar-new-delhi/order
Baking Love Bakers,4.2,"Bakery, Desserts",₹250 for one,40 min,50% OFF,https://www.zomato.com/ncr/baking-love-bakers-shadipur-new-delhi/order
Chai Point,4.2,"Tea, Coffee, Beverages, Shake, Fast Food, Rolls, Desserts, Cafe",₹200 for one,27 min,40% OFF,https://www.zomato.com/ncr/chai-point-3-connaught-place-new-delhi/order
House of Chow,4.1,"Chinese, Thai, Momos, Sichuan",₹150 for one,34 min,50% OFF,https://www.zomato.com/ncr/house-of-chow-1-east-patel-nagar-new-delhi/order
Keventers Ice Cream,4.1,"Ice Cream, Desserts",₹150 for one,N/A,50% OFF,https://www.zomato.com/ncr/keventers-ice-cream-kamla-nagar-new-delhi/order
ICP Italian Crust Pizza,3.4,"Pizza, Pasta, Fast Food",₹200 for one,44 min,No Offers,https://www.zomato.com/ncr/icp-italian-crust-pizza-inderlok-new-delhi/order
Punjabi Dhaba,3.5,"Chinese, North Indian",₹150 for one,N/A,No Offers,https://www.zomato.com/ncr/punjabi-dhaba-5-kamla-nagar-new-delhi/order
Louis Burger,4.2,"Burger, Fast Food, Beverages",₹250 for one,36 min,₹100 OFF,https://www.zomato.com/ncr/louis-burger-connaught-place-new-delhi/order
Great Indian Khichdi by EatFit,4.5,"North Indian, Healthy Food, South Indian, Fast Food, Mithai, Juices, Desserts, Beverages",₹150 for one,28 min,60% OFF,https://www.zomato.com/ncr/great-indian-khichdi-by-eatfit-karol-bagh-new-delhi/order
Momo Shomo,4.2,Momos,₹150 for one,34 min,Flat 20% OFF,https://www.zomato.com/ncr/momo-shomo-west-patel-nagar-new-delhi/order
Pizza Flix,3.9,"Pizza, Fast Food",₹200 for one,45 min,No Offers,https://www.zomato.com/ncr/pizza-flix-laxmi-nagar-new-delhi/order
